position,name,publisher/author,num. of reviews,cover type,price
#62,"Mulheres, mitos e deusas: O feminino através dos tempos",Martha Robles,2.909,eBook Kindle,"R$ 41,81"
#63,A questão da Palestina,Edward W. Said,100,Capa comum,"R$ 59,40"
#64,Sobre a brevidade da vida / Sobre a firmeza do sábio,Sêneca,4.102,Capa comum,"R$ 16,99"
#65,Origens do totalitarismo,Hannah Arendt,2.202,Capa comum,"R$ 29,99"
#66,"Claro Escuro — Ensaios Sobre Casamento, Divórcio, Amor, Sexo E Outros Assuntos",Gustavo Corção,113,Capa comum,"R$ 35,85"
#67,A Mente Esquerdista. As Causas Psicológicas da Loucura Política,Lyle H. Rossiter,751,Capa comum,"R$ 38,83"
#68,Guia de Bolso Contra Mentiras Feministas,Varios Autores,1.569,Capa comum,"R$ 26,66"
#69,Uma casa que não pode cair: Encontrando calma e coragem diante do sofrimento de quem amamos,Júlia Jalbut,58,Capa comum,"R$ 56,46"
#70,Mulheres incríveis,Ciranda Cultural,2.992,Capa comum,"R$ 13,99"
#71,21 lições para o século 21,Yuval Noah Harari,10.561,Capa comum,"R$ 39,99"
#72,Os ricos e os pobres: O Brasil e a desigualdade,Marcelo Medeiros,1,eBook Kindle,"R$ 39,90"
#73,O Mito da Caverna,Platão,64,eBook Kindle,"R$ 0,90"
#74,Israel x Palestina: 100 Anos de Guerra,James L. Gelvin,96,Capa comum,"R$ 61,97"
#75,Mentes ansiosas: O medo e a ansiedade nossos de cada dia,Dra. Ana Beatriz Barbosa Silva,2.482,Capa comum,"R$ 38,99"
#76,O Príncipe de Maquiavel: Texto Integral,Nicolau Maquiavel,5.439,Capa comum,"R$ 21,17"
#77,O feminismo é para todo mundo: Políticas arrebatadoras,bell hooks,4.989,Capa comum,"R$ 29,99"
#78,A Arte da Guerra: Edição Especial,Sun Tzu,1.451,Capa dura,"R$ 44,32"
#79,Brancura,Jon Fosse,12,Capa comum,"R$ 52,69"
#80,A Escola de Frankfurt e o início da nova esquerda,Cristián Rodrigo Iturralde,196,Capa comum,"R$ 56,68"
#81,Revista Claudia [ed.745] - 10/2023,Claudia,13,eBook Kindle,"R$ 14,90"
#82,Gestão de Alta Performance: Tudo o que um gestor precisa saber para gerenciar equipes e manter o foco em resultados,Andrew S. Grove,1.978,Capa comum,"R$ 52,29"
#83,"A Prateleira do Amor: Sobre Mulheres, Homens e Relações",Valeska Zanello,714,Capa comum,"R$ 24,15"
#84,O Príncipe,Nicolau Maquiavel,1.812,eBook Kindle,"R$ 0,99"
#85,O chamado da coragem: A sorte favorece os corajosos,Ryan Holiday,279,Capa comum,"R$ 31,99"
#86,A vida não é útil,Ailton Krenak,4.520,Capa comum,"R$ 35,54"
#87,Assim falou Zaratustra: Um livro para todos e para ninguém,Friedrich Nietzsche,2.183,Capa comum,"R$ 21,99"
#88,Fora de série - Outliers: Descubra por que algumas pessoas têm sucesso e outras não,Malcolm Gladwell,4.911,Capa comum,"R$ 46,67"
#89,Flores Para Algernon,Daniel Keyes,25.761,Capa dura,"R$ 53,51"
#90,O homem mais rico da Babilônia: com prefácio de Thiago Nigro,Luiz Cavalcanti de M. Guerra,740,Capa flexível,"R$ 34,68"
#91,Uma história da filosofia - Vol. IV - do utilitarismo a Sartre,Frederick Copleston,61,DVD-ROM,"R$ 72,63"
#92,Psicopatologia e Semiologia dos Transtornos Mentais,Paulo Dalgalarrondo,3.466,Capa comum,"R$ 141,75"
#93,"A ciranda das mulheres sábias: Ser jovem enquanto velha, velha enquanto jovem",Clarissa Pinkola Estés,7.300,Capa comum,"R$ 25,19"
#94,Padrões de alta performance,Napoleon Hill,7,Capa comum,"R$ 44,38"
#95,O Peregrino - John Bunyan,John Bunyan,681,Capa comum,"R$ 23,74"
#96,A fábrica de cretinos digitais: Os perigos das telas para nossas crianças,Michel Desmurget,1.303,Capa comum,"R$ 50,91"
#97,A Arte de ter Razão - 38 Estratagemas para Vencer um Debate Sem Precisar Ter Razão,Arthur Schopenhauer,426,Capa comum,"R$ 29,90"
#98,Confissões de santo Agostinho,Santo Agostinho,2.156,Capa comum,"R$ 37,42"
#99,1984,George Orwell,2.894,eBook Kindle,"R$ 0,90"
#100,Uma história da filosofia - Vol. III - do Iluminismo francês a Nietzsche,Frederick Copleston,72,Capa comum,"R$ 96,84"
