position,name,publisher/author,num. of reviews,cover type,price
#68,Minhas Primeiras Histórias Disney - O Bom Dinossauro,Bicho Esperto,2.776,Capa comum,"R$ 6,90"
#69,A geração ansiosa: Como a infância hiperconectada está causando uma epidemia de transtornos mentais,Jonathan Haidt,,Capa comum,"R$ 74,00"
#70,Conhecendo os Sons da Fazenda. Vaquinha,Cristina Klein,4.291,Livro cartonado,"R$ 33,72"
#71,O Show da Luna - Descobrindo os dinossauros,Ciranda Cultural,2.050,"Canoa, Grampeado ou Costurado","R$ 1,62"
#72,A Ascensão do Dragão: Uma história ilustrada da dinastia Targaryen – Volume 1,Linda Antonsson,94,Capa dura,"R$ 156,91"
#73,Rápido e devagar: Duas formas de pensar,Daniel Kahneman,16.302,Capa comum,"R$ 66,00"
#74,Nada pode me ferir,David Goggins,5.195,Capa comum,"R$ 44,92"
#75,"A coragem de não agradar: Como a filosofia pode ajudar você a se libertar da opinião dos outros, superar suas limitações e se tornar a pessoa que deseja",Ichiro Kishimi,12.325,Capa comum,"R$ 37,42"
#76,A hipótese do amor,Ali Hazelwood,16.428,Capa comum,"R$ 37,74"
#77,A garota do lago,Charlie Donlea,45.236,Capa comum,"R$ 18,90"
#78,A morte é um dia que vale a pena viver: E um excelente motivo para se buscar um novo olhar para a vida,Ana Claudia Quintana Arantes,19.427,Capa comum,"R$ 37,42"
#79,101 primeiros desenhos,Cultural Cultural,3.527,Capa comum,"R$ 10,00"
#80,O livro das virtudes para crianças,William Bennett,8.538,Capa dura,"R$ 47,40"
#81,O milagre da manhã: O segredo para transformar sua vida (antes das 8 horas),Hal Elrod,31.636,Capa comum,"R$ 26,34"
#82,Do Mil ao Milhão. Sem Cortar o Cafezinho.,Thiago Nigro,37.578,Capa comum,"R$ 18,09"
#83,Vade Mecum Saraiva - Tradicional - 37ª edição 2024,Editora Saraiva,1.701,Capa dura,"R$ 123,90"
#84,Entendendo Algoritmos: Um Guia Ilustrado Para Programadores e Outros Curiosos,Aditya Y. Bhargava,3.657,Capa comum,"R$ 57,00"
#85,A hora da estrela: Edição comemorativa,Clarice Lispector,12.417,Capa comum,"R$ 25,61"
#86,O Pequeno Príncipe (Original): Tradução original com aquarelas do autor,Antoine de Saint-Exupéry,15.980,Capa comum,"R$ 10,39"
#87,O conto da aia,Margaret Atwood,29.631,Capa comum,"R$ 42,00"
#88,caderno de frutas para colorir,VÁRIOS AUTORES,1.539,Capa dura,"R$ 2,50"
